0,conv
,ᄀᆞ
,ᄀᆞᆨ
,ᄀᆞᆫ
,ᄀᆞᆮ
,ᄀᆞᆯ
,ᄀᆞᆷ
,ᄀᆞᆸ
,ᄀᆞᆺ
,ᄀᆞᆽ
,ᄀᆞᇀ
,ᄁᆞ
,ᄂᆞ
,ᄂᆞᆫ
,ᄂᆞᆯ
,ᄂᆞᆷ
,ᄂᆞᆺ
,ᄂᆞᆽ
,ᄃᆞ
,ᄃᆞᆨ
,ᄃᆞᆫ
,ᄃᆞᆮ
,ᄃᆞᆯ
,ᄃᆞᆷ
,ᄃᆞᆸ
,ᄃᆞᆺ
,ᄃᆞᆾ
,ᄄᆞ
,ᄄᆞᆨ
,ᄄᆞᆫ
,ᄄᆞᆯ
,ᄄᆞᆷ
,ᄄᆞᆺ
,ᄅᆞᆷ
,ᄆᆞ
,ᄆᆞᆫ
,ᄆᆞᆮ
,ᄆᆞᆯ
,ᄆᆞᆰ
,ᄆᆞᆷ
,ᄆᆞᆸ
,ᄆᆞᆺ
,ᄆᆞᆽ
,ᄇᆞ
,ᄇᆞᆨ
,ᄇᆞᆫ
,ᄇᆞᆯ
,ᄇᆞᆰ
,ᄇᆞᆲ
,ᄇᆞᆷ
,ᄇᆞᆺ
,ᄈᆞ
,ᄈᆞᆯ
,ᄉᆞ
,ᄉᆞᆨ
,ᄉᆞᆫ
,ᄉᆞᆯ
,ᄉᆞᆱ
,ᄉᆞᆷ
,ᄉᆞᆸ
,ᄉᆞᆺ
,ᄊᆞ
,ᄊᆞᆯ
,ᄊᆞᆷ
,ᄊᆞᆸ
,ᄌᆞ
,ᄌᆞᆨ
,ᄌᆞᆫ
,ᄌᆞᆮ
,ᄌᆞᆯ
,ᄌᆞᆷ
,ᄌᆞᆸ
,ᄌᆞᆺ
,ᄌᆞᆽ
,ᄌᆞᆾ
,ᄍᆞ
,ᄍᆞᆫ
,ᄍᆞᆯ
,ᄍᆞᆷ
,ᄍᆞᆸ
,ᄎᆞ
,ᄎᆞᆨ
,ᄎᆞᆫ
,ᄎᆞᆯ
,ᄎᆞᆷ
,ᄎᆞᆸ
,ᄎᆞᆽ
,ᄏᆞ
,ᄏᆞᆨ
,ᄏᆞᆯ
,ᄏᆞᆷ
,ᄐᆞ
,ᄐᆞᆨ
,ᄐᆞᆫ
,ᄐᆞᆮ
,ᄐᆞᆯ
,ᄐᆞᆺ
,ᄑᆞ
,ᄑᆞᆨ
,ᄑᆞᆫ
,ᄑᆞᆯ
,ᄑᆞᆷ
,ᄑᆞᆸ
,ᄑᆞᆺ
,ᄑᆞᇀ
,ᄒᆞ
,ᄒᆞᆨ
,ᄒᆞᆫ
,ᄒᆞᆯ
,ᄒᆞᆷ
,ᄒᆞᆸ
